DATA_TYPE MOVIE
VERSION Tekscan Pressure Measurement System 7.60-14I
HARDWARE 112-14, 02_2_3
MAP_VERSION 8.0
HW_TYPE 4
VersaPogoFsx 1
VersaV6CuffFsx 0
FILENAME C:\Users\u21022934\Desktop\VDG_Stuff\PhD\Tekscan\Tyre 0ptread\TM700Fz560Tr0_Buff_r1.fsx
SENSOR_TYPE 8001
ROWS 88
COLS 96
ROW_SPACING 3.048 millimeters
COL_SPACING 3.048 millimeters
SENSEL_AREA 9.2903 mm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.25
MICRO_SECOND 1
TIME 2020/12/08 16:00:52.5
SENSITIVITY Low-3
MAP_INDEX 0
SUBMAP 0
START_FRAME 69
END_FRAME 69
UNITS raw
MIRROR_ROW 0
MIRROR_COL 0
ASCII_DATA @@

Frame 69, 17.1,, 2020/12/08 16:01:09.6,,,Raw Sum=,,104110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,41,20,25,53,61,78,83,76,16,6,5,4,5,0,0,13,29,29,40,52,74,63,53,43,51,66,87,42,13,15,25,0,0,0,0,0,0,0,7,90,67,42,40,47,90,71,55,36,8,4,9,17,41,36,54,50,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,31,25,32,57,61,61,69,96,29,3,10,10,4,9,18,37,43,40,38,67,67,49,50,41,43,62,62,69,57,71,86,18,0,0,0,0,0,0,18,94,75,49,40,44,88,73,57,38,8,0,5,12,30,34,54,56,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,3,5,0,3,4,0,5,3,6,0,3,3,0,5,88,39,31,44,57,61,79,76,98,45,17,27,11,11,12,28,47,56,48,47,75,69,53,40,46,41,61,73,79,71,79,98,49,9,0,0,0,0,0,33,85,69,39,34,40,85,67,47,32,4,5,13,15,17,43,56,59,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,4,0,3,3,0,5,3,5,0,0,3,0,5,65,28,29,50,47,57,76,65,81,47,18,23,8,9,4,21,23,27,30,41,59,64,58,43,39,40,62,84,90,70,83,94,54,5,0,0,0,0,0,46,65,59,28,26,30,70,50,52,26,4,8,17,14,20,39,56,64,0,0,6,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,3,0,3,3,0,5,3,5,0,0,3,0,4,65,38,30,53,51,50,64,72,86,33,10,19,3,5,4,5,4,10,16,35,69,77,72,57,58,63,75,98,79,73,76,106,4,0,0,0,0,0,0,47,67,49,22,14,22,68,55,52,31,6,12,20,21,27,42,53,57,4,0,4,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,4,70,41,32,51,43,56,76,76,74,17,7,11,0,3,5,6,9,15,21,37,61,60,38,34,48,51,82,85,82,69,64,0,0,0,0,0,0,0,29,71,33,18,13,8,18,62,48,44,28,10,8,19,25,35,45,61,59,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,3,3,4,3,3,3,0,3,3,0,4,71,46,33,38,37,48,66,79,70,23,9,11,6,3,5,6,21,25,33,44,81,66,44,46,47,67,79,99,78,75,0,0,0,0,0,0,0,19,60,78,56,27,14,10,22,66,63,48,30,6,8,22,30,46,46,64,55,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,3,0,3,3,5,3,3,3,0,3,3,3,5,71,42,24,34,47,63,80,81,98,63,16,11,6,5,7,23,28,33,45,61,74,75,63,58,59,71,92,91,58,15,0,0,0,0,0,0,5,49,60,70,56,43,24,17,25,71,58,56,29,7,11,28,33,49,44,64,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,3,3,4,0,0,3,0,3,3,3,5,70,30,13,27,50,54,81,65,40,25,23,17,9,16,26,36,41,46,55,62,79,58,43,42,50,55,23,0,0,7,0,0,0,0,0,0,10,10,30,75,70,37,19,18,34,77,53,52,29,9,15,31,40,59,51,71,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,3,0,4,3,6,0,0,3,0,4,3,5,6,60,25,15,32,51,54,77,50,26,9,9,26,30,36,48,67,79,79,67,86,83,55,45,31,9,0,0,0,4,4,0,0,0,0,0,8,5,8,31,71,71,40,30,24,35,74,61,58,31,15,22,41,59,77,61,64,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
